point_id,reference_tier,Mach,alpha,cr,ci,omega_i,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,validation_note,has_exported_modal_fields
M1.40_a0.125000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.125,0.303271264704649,0.0535875093459158,0.0066984386682394,True,True,YES,validated,0.0017665559834707,3.0047490024189555e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.40_a0.137500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.1375,0.3111424049240388,0.0511307865076858,0.0070304831448067,True,True,YES,validated,0.0016248557187462,6.237268754360609e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.40_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.15,0.3182275185165742,0.0486740636694557,0.0073011095504183,True,True,YES,validated,0.0013443567711178,1.157019368920801e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.40_a0.162500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.1625,0.3246580112197962,0.0462173408312256,0.0075103178850741,True,True,YES,validated,0.0009231956973406,1.3332772273236985e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.40_a0.168750,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,True,True,YES,validated,0.0006446884127008,7.493539522747767e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.40_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.175,0.3334272163349703,0.0426165444542578,0.0074578952794951,True,True,YES,validated,4.406057886329088e-06,9.000934100903454e-24,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.181250,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.18125,0.3153193678544234,0.0427209194542578,0.0077431666510842,True,True,YES,validated,0.0058666869984485,1.3654422406630672e-18,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.187500,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252,True,True,YES,validated,0.0060030096781822,6.8384475574140265e-19,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.193750,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.19375,0.3222828767123289,0.024414084798728,0.0047302289297535,True,True,YES,validated,0.0307914139539887,2.902276857159237e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_M140_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.2,0.3240857069010081,0.0232528549709631,0.0046505709941926,True,True,YES,validated,0.0333763724194165,7.490435597356611e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.50_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.1,0.3293676490936765,0.0460323254563964,0.0046032325456396,True,True,YES,validated,0.0052546983899283,1.270114345714536e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M15_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.50_a0.125000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.125,0.3492641497157056,0.0487962958623987,0.0060995369827998,True,True,YES,validated,1.940808103109891e-06,8.584788614904849e-21,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.50_a0.137500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.1375,0.3561293840907055,0.0454370701278998,0.0062475971425862,True,True,YES,validated,2.9242691405786992e-06,8.883374749124309e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.50_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101,True,True,YES,validated,1.5826674783649809e-06,1.7707920233320626e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.50_a0.156250,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.15625,0.3652797747157056,0.0399391725184009,0.0062404957060001,True,True,YES,validated,1.7671296518669656e-06,2.0131771728764467e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.50_a0.158333,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.158333,0.2399414062499999,0.0374707031249999,0.0059328488378906,True,True,YES,validated,0.0254194812899849,1.3342919540887097e-18,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.50_a0.162500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.1625,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,YES,validated,1.5637777600864958e-06,2.376309309757678e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",True
M1.50_a0.165625,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.165625,0.3680825090907056,0.0380056534011514,0.0062946863445657,True,True,YES,validated,2.1496167389108205e-06,4.5129458631744745e-19,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.60_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.6,0.1,0.3723024463246057,0.0286170504353144,0.0028617050435314,True,True,YES,validated,0.010372068730472,7.9348249071463715e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M16_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.60_a0.125000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.6,0.125,0.3875635867175142,0.0251098747521818,0.0031387343440227,True,True,YES,validated,0.0170167361331252,1.1590165901932192e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M16_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.1,0.4086724851271471,0.0255832924228237,0.0025583292422823,True,True,YES,validated,3.966230544132926e-06,2.0468394813472072e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.125000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.125,0.4192415320846353,0.0221873441527381,0.0027734180190922,True,True,YES,validated,2.126825320674722e-06,1.0484868630338316e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.150000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.15,0.4298105790421235,0.0187913958826526,0.0028187093823978,True,True,YES,validated,6.137244186249679e-07,5.716878123491789e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.175,0.4403796259996116,0.015395447612567,0.0026942033321992,True,True,YES,validated,0.0348075333486777,9.819810000294112e-21,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
